,Code,Description
1812,D59,Επίκτητη αιμολυτική αναιμία
1813,D59.0,Αυτοάνοση αιμολυτική αναιμία φαρμακευτικής αιτιολογίας
1814,D59.1,Άλλες αυτοάνοσες αιμολυτικές αναιμίες
1815,D59.2,Μη αυτοάνοση αιμολυτική αναιμία φαρμακευτικής αιτιολογίας
1816,D59.3,Αιμολυτικό-ουραιμικό σύνδρομο
1817,D59.4,Άλλες μη αυτοάνοσες αιμολυτικές αναιμίες
1818,D59.5,Παροξυσμική νυκτερινή αιμοσφαιρινουρία [Marchiafava-Micheli]
1819,D59.6,Αιμοσφαιρινουρία οφειλόμενη σε αιμόλυση από άλλους εξωγενείς αιτιολογικούς παράγοντες
1820,D59.8,Άλλες επίκτητες αιμολυτικές αναιμίες
1821,D59.9,"Επίκτητη αιμολυτική αναιμία, μη καθορισμένη"
1822,D60,Επίκτητη αμιγής απλασία των ερυθροκυττάρων [ερυθροβλαστοπενία]
1823,D60.0,Χρόνια επίκτητη αμιγής απλασία των ερυθροκυττάρων
1824,D60.1,Παροδική επίκτητη αμιγής απλασία των ερυθροκυττάρων
1825,D60.8,Άλλες μορφές επίκτητης αμιγούς απλασίας των ερυθροκυττάρων
1826,D60.9,"Επίκτητη αμιγής απλασία των ερυθροκυττάρων, μη καθορισμένη"
1827,D61,Άλλες απλαστικές αναιμίες
1828,D61.0,Ιδιοσυστατική απλαστική αναιμία
1829,D61.1,Απλαστική αναιμία φαρμακευτικής αιτιολογίας
1830,D61.2,Απλαστική αναιμία οφειλόμενη σε άλλους εξωγενείς παράγοντες
1831,D61.3,Ιδιοπαθής απλαστική αναιμία
1832,D61.8,Άλλες καθορισμένες απλαστικές αναιμίες
1833,D61.9,"Απλαστική  αναιμία, μη καθορισμένη"
1834,D62,Οξεία μεθαιμορραγική αναιμία
1835,D63,Αναιμία σε χρόνια νοσήματα που ταξινομούνται αλλού
1836,D63.0,Αναιμία στα νεοπλασματικά νοσήματα -  
1837,D63.8,Αναιμία σε άλλα χρόνια νοσήματα που ταξινομούνται αλλού
1838,D64,Άλλες αναιμίες
1839,D64.0,Κληρονομική σιδηροβλαστική αναιμία
1840,D64.1,Δευτερογενής σιδηροβλαστική αναιμία που οφείλεται σε νόσημα
1841,D64.2,Δευτερογενής σιδηροβλαστική αναιμία οφειλόμενη σε φάρμακα και τοξίνες
1842,D64.3,Άλλες μορφές σιδηροβλαστικής αναιμίας
1843,D64.4,Συγγενής δυσερυθροποιητική αναιμία
1844,D64.8,Άλλες καθορισμένες αναιμίες
1845,D64.9,"Αναιμία, μη καθορισμένη"
1846,D65,Διάχυτη ενδαγγειακή πήξη [σύνδρομο ινωδόλυσης]
1847,D66,Κληρονομική ανεπάρκεια του παράγοντα VIII
1848,D67,Κληρονομική ανεπάρκεια του παράγοντα ΙΧ
1849,D68,Άλλες διαταραχές της πήξης του αίματος
1850,D68.0,Νόσος του von Willebrand
1851,D68.1,Κληρονομική ανεπάρκεια του παράγοντα ΧΙ
1852,D68.2,Κληρονομική ανεπάρκεια άλλων παραγόντων της πήξης
1853,D68.3,Αιμορραγικές διαταραχές που οφείλονται σε κυκλοφορούντα αντιπηκτικά
1854,D68.4,Επίκτητη ανεπάρκεια παράγοντα της πήξης
1855,D68.8,Άλλες καθορισμένες διαταραχές της πήξης
1856,D68.9,"Διαταραχή της πήξης, μη καθορισμένη"
1857,D69,Πορφύρα και άλλες αιμορραγικές καταστάσεις
1858,D69.0,Αλλεργική πορφύρα
1859,D69.1,Ποιοτικές διαταραχές των αιμοπεταλίων
1860,D69.2,Άλλες περιπτώσεις μη θρομβοπενικής πορφύρας
1861,D69.3,Ιδιοπαθής θρομβοπενική πορφύρα
1862,D69.4,Άλλες μορφές πρωτοπαθούς θρομβοπενίας 
1863,D69.5,Δευτεροπαθής θρομβοπενία
1864,D69.6,"Θρομβοκυττοπενία, μη καθορισμένη "
1865,D69.8,Άλλες καθορισμένες αιμορραγικές καταστάσεις
1866,D69.9,"Αιμορραγική κατάσταση, μη καθορισμένη"
1867,D70,Ακοκκιοκυτταραιμία
1868,D71,Λειτουργικές διαταραχές των ουδετερόφιλων πολυμορφοπυρήνων
1869,D72,Άλλες διαταραχές των λευκών αιμοσφαιρίων
1870,D72.0,Γενετικές ανωμαλίες των λευκοκυττάρων
1871,D72.1,Ηωσινοφιλία
1872,D72.8,Άλλες καθορισμένες διαταραχές των λευκών αιμοσφαιρίων
1873,D72.9,"Διαταραχή των λευκών αιμοσφαιρίων, μη καθορισμένη"
1874,D73,Νοσήματα του σπλήνα
1875,D73.0,Υποσπληνισμός
1876,D73.1,Υπερσπληνισμός
1877,D73.2,Χρόνια συμφορητική σπληνομεγαλία
1878,D73.3,Απόστημα του σπλήνα
1879,D73.4,Κύστη του σπλήνα
1880,D73.5,Έμφρακτο του σπλήνα
1881,D73.8,Άλλα νοσήματα του σπλήνα
1882,D73.9,"Νόσος του σπλήνα, μη καθορισμένη"
1883,D74,Μεθαιμοσφαιριναιμία
1884,D74.0,Συγγενής μεθαιμοσφαιριναιμία
1885,D74.8,Άλλες μεθαιμοσφαιριναιμίες
1886,D74.9,"Μεθαιμοσφαιριναιμία, μη καθορισμένη"
1887,D75,Άλλα νοσήματα του αίματος και των αιμοποιητικών οργάνων
1888,D75.0,Οικογενής ερυθροκυττάρωση
1889,D75.1,Δευτερογενής πολυκυτταραιμία
1890,D75.2,Ιδιοπαθής θρομβοκυττάρωση
1891,D75.8,Άλλα καθορισμένα νοσήματα  του αίματος και των αιμοποιητικών οργάνων
1892,D75.9,"Νόσημα του αίματος και των αιμοποιητικών οργάνων, μη καθορισμένο"
1893,D76,Ορισμένα νοσήματα του λεμφοδικτυωτού ιστού και του δικτυοϊστιοκυτταρικού συστήματος
1894,D76.0,"Ιστιοκύττωση κυττάρων Langerhans,  που δεν ταξινομείται αλλού"
1895,D76.1,Αιμοφαγοκυτταρική λεμφοϊστιοκύττωση
1896,D76.2,"Αιμοφαγοκυτταρικό σύνδρομο, σχετιζόμενο  με λοιμώξεις"
1897,D76.3,Άλλα σύνδρομα ιστιοκύττωσης
1898,D77,Άλλες διαταραχές του αίματος και των αιμοποιητικών οργάνων σε νοσήματα που ταξινομούνται αλλού
1899,D80,Ανοσοανεπάρκεια με βλάβες κυρίως των αντισωμάτων
1900,D80.0,Κληρονομική υπογαμμασφαιριναιμία
1901,D80.1,Μη οικογενής υπογαμμασφαιριναιμία
1902,D80.2,Εκλεκτική ανεπάρκεια της ανοσφαιρίνης Α [IgA]
1903,D80.3,Εκλεκτική ανεπάρκεια των υποκατηγοριών της ανοσοσφαιρίνης G [IgG]
1904,D80.4,Εκλεκτική ανεπάρκεια της ανοσοσφαιρίνης Μ [IgM]
1905,D80.5,Ανοσοανεπάρκεια με αυξημένη ανοσοσφαιρίνη Μ [1gM]
1906,D80.6,Αντισωματική ανεπάρκεια με σχεδόν φυσιολογικά επίπεδα ανοσοσφαιρινών ή με υπεργαμμασφαιριναιμία
1907,D80.7,Παροδική υπογαμμασφαιριναιμία της βρεφικής ηλικίας
1908,D80.8,Άλλες ανοσοανεπάρκειες με βλάβες κυρίως των αντισωμάτων
1909,D80.9,"Ανοσοανεπάρκεια με βλάβες κυρίως των αντισωμάτων, μη καθορισμένη"
1910,D81,Συνδυασμένες ανοσοαναπάρκειες
1911,D81.0,Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με δικτυωτή δυσγενεσία
1912,D81.1,Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με ελαττωμένους αριθμούς Τ- και Β-λεμφοκυττάρων
1913,D81.2,Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με χαμηλό ή φυσιολογικό αριθμό Β-λεμφοκυττάρων
1914,D81.3,Ανεπάρκεια της απαμινάσης της αδενοσίνης [ADA]
1915,D81.4,Σύνδρομο Nezelof
1916,D81.5,Ανεπάρκεια της φωσφορυλάσης της πουρινικής νουκλεοσίδης [PNP]
1917,D81.6,Ανεπάρκεια του συμπλέγματος μείζονος ιστοσυμβατότητας κατηγορίας Ι
1918,D81.7,Ανεπάρκεια του συμπλέγματος μείζονος ιστοσυμβατότητας κατηγορίας ΙΙ
1919,D81.8,Άλλες συνδυασμένες ανοσοανεπάρκειες
1920,D81.9,"Συνδυασμένη ανοσοανεπάρκεια, μη καθορισμένη "
1921,D82,Ανοσοανεπάρκεια σχετιζόμενη με άλλες μείζονες βλάβες
1922,D82.0,Σύνδρομο Wiskott-Aldrich
1923,D82.1,Σύνδρομο Di George
1924,D82.2,Ανοσοανεπάρκεια με χαμηλό ανάστημα και βραχέα άκρα
1925,D82.3,Ανοσοανεπάρκεια μετά από κληρονομική ελλειματική ανταπόκριση προς τον ιό Epstein-Barr
1926,D82.4,Σύνδρομο υπερανοσοσφαιρίνης Ε [IgE]
1927,D82.8,Ανοσοανεπάρκεια σχετιζόμενη με άλλες καθορισμένες μείζονες βλάβες 
1928,D82.9,"Ανοσοανεπάρκεια σχετιζόμενη με μείζονα βλάβη, μη καθορισμένη"
1929,D83,Κοινή ποικίλη ανοσοανεπάρκεια
1930,D83.0,Κοινή ποικίλη ανοσοανεπάρκεια με επικρατούσες ανωμαλίες του αριθμού και της λειτουργίας των Β-κυττάρων
1931,D83.1,Κοινή ποικίλη ανοσοανεπάρκεια με επικρατούσες ανοσορυθμιστικές διαταραχές των Τ-κυττάρων 
1932,D83.2,Κοινή ποικίλη ανοσοανεπάρκεια με αυτοαντισώματα έναντι των Β- ή Τ- κυττάρων
1933,D83.8,Άλλες κοινές ποικίλες ανοσοανεπάρκειες
1934,D83.9,"Κοινή ποικίλη ανοσοανεπάρκεια, μη καθορισμένη"
1935,D84,Άλλες ανοσοανεπάρκειες
1936,D84.0,Έλλειμμα του αντιγόνου -1 της λεμφοκυτταρικής λειτουργίας [LFA-1]
1937,D84.1,Ανεπάρκειες του συστήματος του συμπληρώματος 
1938,D84.8,Άλλες καθορισμένες ανοσοανεπάρκειες
1939,D84.9,"Ανοσοανεπάρκεια, μη καθορισμένη"
1940,D86,Σαρκοείδωση
1941,D86.0,Σαρκοείδωση των πνευμόνων
1942,D86.1,Σαρκοείδωση των λεμφαδένων
1943,D86.2,Σαρκοείδωση των πνευμόνων με σαρκοείδωση των λεμφαδένων
1944,D86.3,Σαρκοείδωση του δέρματος
1945,D86.8,Σαρκοείδωση σε άλλες και συνδυασμένες εντοπίσεις
1946,D86.9,"Σαρκοείδωση, μη καθορισμένη"
1947,D89,"Άλλες ανοσολογικές διαταραχές, που δεν ταξινομούνται αλλού"
1948,D89.0,Πολυκλωνική υπεργαμμασφαιριναιμία
1949,D89.1,Κρυοσφαιριναιμία 
1950,D89.2,"Υπεργαμμασφαιριναιμία, μη καθορισμένη"
1951,D89.8,"Άλλες καθορισμένες ανοσολογικές διαταραχές, που δεν ταξινομούνται αλλού"
1952,D89.9,"Ανοσολογική διαταραχή, μη καθορισμένη "
1953,E00,Συγγενές σύνδρομο ανεπάρκειας ιωδίου
1954,E00.0,"Συγγενές σύνδρομο έλλειψης ιωδίου, νευρολογικός τύπος"
1955,E00.1,"Συγγενές σύνδρομο έλλειψης ιωδίου, μυξοιδηματικός τύπος"
1956,E00.2,"Συγγενές σύνδρομο ανεπάρκειας ιωδίου, μικτός τύπος "
1957,E00.9,"Συγγενές σύνδρομο ανεπάρκειας ιωδίου, μη καθορισμένο"
1958,E01,Διαταραχές του θυρεοειδούς σχετιζόμενες με ανεπάρκεια ιωδίου και συναφείς καταστάσεις
1959,E01.0,Διάχυτη ενδημική βρογχοκήλη σχετιζόμενη με ανεπάρκεια ιωδίου
1960,E01.1,Πολυοζώδης ενδημική βρογχοκήλη σχετιζόμενη με ανεπάρκεια ιωδίου
1961,E01.2,"Βρογχοκήλη ενδημική σχετιζόμενη με ανεπάρκεια ιωδίου, μη καθορισμένη"
1962,E01.8,Άλλες διαταραχές του θυρεοειδούς σχετιζόμενες με ανεπάρκεια ιωδίου και συναφείς καταστάσεις 
1963,E02,Υποκλινικός υποθυρεοειδισμός από ανεπάρκεια ιωδίου
1964,E03,Άλλες μορφές υποθυρεοειδισμού
1965,E03.0,Συγγενής υποθυρεοειδισμός με διάχυτη βρογχοκήλη
1966,E03.1,Συγγενής υποθυρεοειδισμός χωρίς βρογχοκήλη
1967,E03.2,Υποθυρεοειδισμός που οφείλεται σε φάρμακα και άλλες εξωγενείς ουσίες
1968,E03.3,Μεταλοιμώδης υποθυρεοειδισμός
1969,E03.4,Ατροφία του θυρεοειδούς επίκτητη
1970,E03.5,Μυξοιδηματικό κώμα
1971,E03.8,Άλλος καθορισμένος υποθυρεοειδισμός
1972,E03.9,"Υποθυρεοειδισμός, μη καθορισμένος"
1973,E04,Άλλες μη τοξικές βρογχοκήλες 
1974,E04.0,Μη τοξική διάχυτη βρογχοκήλη
1975,E04.1,Μη τοξικός μονήρης όζος του θυρεοειδούς
1976,E04.2,Μη τοξική πολυοζώδης βρογχοκήλη
1977,E04.8,Άλλη καθορισμένη μη τοξική βρογχοκήλη
1978,E04.9,"Μη τοξική βρογχοκήλη, μη καθορισμένη"
1979,E05,Θυρεοτοξίκωση [υπερθυρεοειδισμός]
1980,E05.0,Θυρεοτοξίκωση με διάχυτη βρογχοκήλη
1981,E05.1,Θυρεοτοξίκωση με τοξικό μονήρη θυρεοειδικό όζο
1982,E05.2,Θυρεοτοξίκωση με τοξική πολυοζώδη βρογχοκήλη
1983,E05.3,Θυρεοτοξίκωση από έκτοπο θυρεοειδικό ιστό
1984,E05.4,Εξωγενώς προκλητή θυρεοτοξίκωση 
1985,E05.5,Θυρεοειδική κρίση ή θύελλα 
1986,E05.8,Άλλη θυρεοτοξίκωση
1987,E05.9,"Θυρεοτοξίκωση, μη καθορισμένη"
1988,E06,Θυρεοειδίτιδα
1989,E06.0,Οξεία θυρεοειδίτιδα
1990,E06.1,Υποξεία θυρεοειδίτιδα
1991,E06.2,Χρόνια θυρεοειδίτιδα με παροδική θυρεοτοξίκωση
1992,E06.3,Αυτοάνοση θυρεοειδίτιδα
1993,E06.4,Φαρμακευτική θυρεοειδίτιδα 
1994,E06.5,Άλλη χρόνια θυρεοειδίτιδα
1995,E06.9,"Θυρεοειδίτιδα, μη καθορισμένη"
1996,E07,Άλλες διαταραχές του θυρεοειδούς
1997,E07.0,Υπερέκκριση καλσιτονίνης
1998,E07.1,Δυσορμονογενετική βρογχοκήλη
1999,E07.8,Άλλες καθορισμένες διαταραχές του θυρεοειδούς
2000,E07.9,"Διαταραχή του θυρεοειδούς, μη καθορισμένη"
2001,E10,Ινσουλινοεξαρτώμενος σακχαρώδης διαβήτης
2002,E11,Μη ινσουλινοεξαρτώμενος σακχαρώδης διαβήτης
2003,E12,Σακχαρώδης διαβήτης που σχετίζεται με υποσιτισμό
2004,E13,Άλλες μορφές σακχαρώδους διαβήτη
2005,E14,Μη καθορισμένος σακχαρώδης διαβήτης
2006,E15,Μη διαβητικό υπογλυκαιμικό κώμα
2007,E16,Άλλες διαταραχές της ενδοκρινικής λειτουργίας του παγκρέατος
2008,E16.0,Φαρμακευτικής αιτιολογίας υπογλυκαιμία χωρίς κώμα
2009,E16.1,Άλλες μορφές υπογλυκαιμίας
2010,E16.2,"Υπογλυκαιμία, μη καθορισμένη"
2011,E16.3,Αυξημένη έκκριση γλυκαγόνης
2012,E16.4,Διαταραχή στην έκκριση γαστρίνης
2013,E16.8,Άλλες καθορισμένες διαταραχές της ενδοκρινικής λειτουργίας του παγκρέατος
2014,E16.9,"Διαταραχή της ενδοκρινικής λειτουργίας του παγκρέατος, μη καθορισμένη "
2015,E20,Υποπαραθυρεοειδισμός
2016,E20.0,Ιδιοπαθής υποπαραθυρεοειδισμός
2017,E20.1,Ψευδοϋποπαραθυρεοειδισμός
2018,E20.8,Άλλες μορφές υποπαραθυρεοειδισμού
2019,E20.9,"Υποπαραθυρεοειδισμός, μη καθορισμένος"
2020,E21,Υπερπαραθυρεοειδισμός και άλλες διαταραχές των παραθυρεοειδών αδένων
2021,E21.0,Πρωτοπαθής υπερπαραθυρεοειδισμός
2022,E21.1,Δευτεροπαθής υπερπαραθυρεοειδισμός. που δεν ταξινομείται αλλού
2023,E21.2,Άλλες μορφές υπερπαραθυρεοειδισμού
2024,E21.3,"Υπερπαραθυρεοειδισμός, μη καθορισμένος"
2025,E21.4,Άλλες καθορισμένες διαταραχές των παραθυρεοειδών αδένων
2026,E21.5,"Διαταραχή των παραθυρεοειδών αδένων, μη καθορισμένη"
2027,E22,Υπερλειτουργία της υπόφυσης
2028,E22.0,Μεγαλακρία και υποφυσιακός γιγαντισμός
2029,E22.1,Υπερπρολακτιναιμία
2030,E22.2,Σύνδρομο απρόσφορης έκκρισης αντιδιουρητικής ορμόνης
2031,E22.8,Άλλες περιπτώσεις υπερλειτουργίας της υπόφυσης
2032,E22.9,"Υπερλειτουργία της υπόφυσης, μη καθορισμένη"
2033,E23,Υπολειτουργία και άλλες διαταραχές της υπόφυσης
2034,E23.0,Υποφυσιακή ανεπάρκεια
2035,E23.1,Φαρμακευτικής αιτιολογίας ανεπάρκεια της υπόφυσης
2036,E23.2,Άποιος διαβήτης
2037,E23.3,"Υποθαλαμική δυσλειτουργία, που δεν ταξινομείται αλλού"
2038,E23.6,Άλλες διαταραχές της υπόφυσης
2039,E23.7,"Διαταραχή της υπόφυσης, μη καθορισμένη"
2040,E24,Σύνδρομο Cushing
2041,E24.0,Υποφυσιοεξαρτώμενη νόσος του Cushing
2042,E24.1,Σύνδρομο Nelson
2043,E24.2,Φαρμακευτικής αιτιολογίας σύνδρομο Cushing 
2044,E24.3,Σύνδρομο έκτοπης έκκρισης ACTH
2045,E24.4,Ψευδο-σύνδρομο Cushing από αλκοολισμό 
2046,E24.8,Άλλες μορφές συνδρόμου Cushing
2047,E24.9,"Σύνδρομο Cushing, μη καθορισμένο"
2048,E25,Επινεφριδιο-γεννητικές διαταραχές
2049,E25.0,Συγγενείς επινεφριδιο-γεννητικές διαταραχές σχετιζόμενες με ανεπάρκεια ενζύμων
2050,E25.8,Άλλες επινεφριδιο-γεννητικές διαταραχές
2051,E25.9,"Επινεφριδιο-γεννητική διαταραχή, μη καθορισμένη"
2052,E26,Υπεραλδοστερονισμός
2053,E26.0,Πρωτοπαθής υπεραλδοστερονισμός
2054,E26.1,Δευτεροπαθής υπεραλδοστερονισμός
2055,E26.8,Άλλες μορφές υπεραλδοστερονισμού
2056,E26.9,"Υπεραλδοστερονισμός, μη καθορισμένος"
2057,E27,Άλλες διαταραχές των επινεφριδίων
2058,E27.0,Άλλες περιπτώσεις φλοιοεπινεφριδιακής υπερλειτουργίας
2059,E27.1,Πρωτοπαθής φλοιοεπινεφριδική ανεπάρκεια
2060,E27.2,Κρίση Αddison Αδδισόνιαν
2061,E27.3,Φαρμακογενής φλοιοεπινεφριδιακή ανεπάρκεια 
2062,E27.4,Άλλες  και μη καθορισμένες μορφές φλοιοεπινεφριδιακής ανεπάρκειας
2063,E27.5,Υπερλειτουργία του μυελού των επινεφριδίων
2064,E27.8,Άλλες καθορισμένες διαταραχές των επινεφριδίων
2065,E27.9,"Διαταραχή των επινεφριδίων, μη καθορισμένη "
2066,E28,Δυσλειτουργία των ωοθηκών
2067,E28.0,Περίσσεια οιστρογόνων
2068,E28.1,Περίσσεια ανδρογόνων
2069,E28.2,Σύνδρομο πολυκυστικών ωοθηκών
2070,E28.3,Πρωτοπαθής ανεπάρκεια των ωοθηκών
2071,E28.8,Άλλη δυσλειτουργία των ωοθηκών
2072,E28.9,"Δυσλειτουργία των ωοθηκών, μη καθορισμένη "
2073,E29,Δυσλειτουργία των όρχεων
2074,E29.0,Υπερλειτουργία των όρχεων
2075,E29.1,Υπολειτουργία των όρχεων
2076,E29.8,Άλλη δυσλειτουργία των όρχεων
2077,E29.9,"Δυσλειτουργία των όρχεων, μη καθορισμένη"
2078,E30,"Διαταραχές της ήβης, που δεν ταξινομούνται αλλού"
2079,E30.0,Καθυστερημένη ήβη
2080,E30.1,Πρώιμος ήβη
2081,E30.8,Άλλες διαταραχές της ήβης
2082,E30.9,"Διαταραχή της ήβης, μη καθορισμένη"
2083,E31,Πολυαδενική δυσλειτουργία
2084,E31.0,Αυτοάνοσος πολυαδενική ανεπάρκεια
2085,E31.1,Πολυαδενική υπερλειτουργία
2086,E31.8,Άλλη πολυαδενική δυσλειτουργία
2087,E31.9,"Πολυαδενική δυσλειτουργία, μη καθορισμένη"
2088,E32,Νοσήματα του θύμου αδένα
2089,E32.0,Επίμονη υπερπλασία του θύμου
2090,E32.1,Απόστημα του θύμου
2091,E32.8,Άλλα νοσήματα του θύμου
2092,E32.9,"Νόσος του θύμου, μη καθορισμένη"
2093,E34,Άλλες διαταραχές των ενδοκρινών αδένων 
2094,E34.0,Σύνδρομο καρκινοειδούς
2095,E34.1,Άλλες μορφές υπερέκκρισης εντερικών ορμονών
2096,E34.2,"Έκτοπη ορμονική έκκριση, που δεν ταξινομείται αλλού"
2097,E34.3,"Χαμηλό ανάστημα, που δεν ταξινομείται αλλού"
2098,E34.4,Ιδιοσυστασιακό ψηλό ανάστημα
2099,E34.5,Σύνδρομο αντίστασης στα ανδρογόνα
2100,E34.8,Άλλες καθορισμένες διαταραχές των ενδοκρινών αδένων
2101,E34.9,"Ενδοκρινική διαταραχή, μη καθορισμένη"
2102,E35,Διαταραχές των ενδοκρινών αδένων σε νοσήματα που ταξινομούνται αλλού
2103,E35.0,Διαταραχές του θυρεοειδούς αδένα σε νοσήματα που ταξινομούνται αλλού
2104,E35.1,Διαταραχές των επινεφριδίων σε νοσήματα που ταξινομούνται αλλού
2105,E35.8,Διαταραχές άλλων ενδοκρινών αδένων σε νοσήματα που ταξινομούνται αλλού
2106,E40,Kwashiorkor
2107,E41,Τροφικός μαρασμός
2108,E42,Μαρασμικό kwashiorkor
2109,E43,Μη καθορισμένος σοβαρός πρωτεϊνο-ενεργειακός υποσιτισμός 
2110,E44,Μέτριου και ήπιου βαθμού υποσιτισμός από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας  
2111,E44.0,Μέτριος υποσιτισμός από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας
2112,E44.1,Ήπιος υποσιτισμός από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας
2113,E45,Καθυστέρηση της ανάπτυξης ως επακόλουθο υποσιτισμού από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας  
2114,E46,Μη καθορισμένος υποσιτισμός από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας  
2115,E50,Ανεπάρκεια βιταμίνης Α
2116,E50.0,Ανεπάρκεια βιταμίνης Α με ξηρότητα των επιπεφυκότων
2117,E50.1,Ανεπάρκεια βιταμίνης Α με κηλίδα του Bitot και ξηρότητα των επιπεφυκότων
2118,E50.2,Ανεπάρκεια βιταμίνης Α με ξηρότητα του κερατοειδούς
2119,E50.3,Ανεπάρκεια βιταμίνης Α με εξέλκωση και ξηρότητα του κερατοειδούς
2120,E50.4,Ανεπάρκεια βιταμίνης Α με κερατομαλάκυνση
2121,E50.5,Ανεπάρκεια βιταμίνης Α με νυκταλωπία
2122,E50.6,Ανεπάρκεια βιταμίνης Α με ξηροφθαλμικές εσχάρες του κερατοειδούς
2123,E50.7,Άλλες οφθαλμικές εκδηλώσεις από ανεπάρκεια της βιταμίνης Α 
2124,E50.8,Άλλες εκδηλώσεις από την ανεπάρκεια βιταμίνης Α
2125,E50.9,"Ανεπάρκεια βιταμίνης Α, μη καθορισμένη"
2126,E51,Ανεπάρκεια θειαμίνης 
2127,E51.1,Beriberi
2128,E51.2,Εγκεφαλοπάθεια του Wernicke
2129,E51.8,Άλλες εκδηλώσεις της ανεπάρκειας θειαμίνης
2130,E51.9,"Ανεπάρκεια θειαμίνης, μη καθορισμένη"
2131,E52,Ανεπάρκεια νιασίνης [πελλάγρα]
2132,E53,Ανεπάρκεια άλλων βιταμινών της ομάδας Β
2133,E53.0,Ανεπάρκεια ριβοβλαφίνης 
2134,E53.1,Ανεπάρκεια πυριδοξίνης
2135,E53.8,Ανεπάρκεια άλλων καθορισμένων βιταμινών της ομάδας Β
2136,E53.9,"Ανεπάρκεια βιταμίνης Β, μη καθορισμένη"
2137,E54,Ανεπάρκεια ασκορβικού οξέος
2138,E55,Ανεπάρκεια βιταμίνης D 
2139,E55.0,"Ραχίτιδα, ενεργή "
2140,E55.9,"Ανεπάρκεια βιταμίνης D, μη καθορισμένη"
2141,E56,Ανεπάρκειες άλλων βιταμινών
2142,E56.0,Ανεπάρκεια της βιταμίνης Ε
2143,E56.1,Ανεπάρκεια της βιταμίνης Κ
2144,E56.8,Ανεπάρκεια άλλων βιταμινών 
2145,E56.9,"Ανεπάρκεια βιταμίνης, μη καθορισμένη "
2146,E58,Διατροφική ανεπάρκεια ασβεστίου 
2147,E59,Διατροφική ανεπάρκεια σεληνίου
2148,E60,Διατροφική ανεπάρκεια ψευδαργύρου 
2149,E61,Ανεπάρκεια άλλων διατροφικών συστατικών
2150,E61.0,Ανεπάρκεια χαλκού
2151,E61.1,Ανεπάρκεια σιδήρου
2152,E61.2,Ανεπάρκεια μαγνησίου
2153,E61.3,Ανεπάρκεια μαγγανίου
2154,E61.4,Ανεπάρκεια χρωμίου
2155,E61.5,Ανεπάρκεια μολυβδενίου
2156,E61.6,Ανεπάρκεια βαναδίου
2157,E61.7,Ανεπάρκεια πολλαπλών διατροφικών συστατικών
2158,E61.8,Ανεπάρκεια άλλων καθορισμένων διατροφικών συστατικών
2159,E61.9,"Ανεπάρκεια διατροφικού συστατικού, μη καθορισμένη"
2160,E63,Άλλες διατροφικές ανεπάρκειες
2161,E63.0,Ανεπάρκεια των βασικών λιπαρών οξέων [EFA]
2162,E63.1,Μη ισολογισμένη πρόσληψη συστατικών διατροφής
2163,E63.8,Άλλες καθορισμένες διατροφικές ανεπάρκειες
2164,E63.9,"Διατροφική ανεπάρκεια, μη καθορισμένη"
2165,E64,Όψιμα αποτελέσματα υποσιτισμού και άλλων τροφικών ανεπαρκειών
2166,E64.0,Όψιμα αποτελέσματα υποσιτισμού από ανεπάρκεια πρόσληψης πρωτεϊνών και ενέργειας
2167,E64.1,Όψιμα αποτελέσματα της ανεπάρκειας βιταμίνης Α
2168,E64.2,Όψιμα αποτελέσματα της ανεπάρκειας βιταμίνης C
2169,E64.3,Όψιμα αποτελέσματα της ραχίτιδας
2170,E64.8,Όψιμα αποτελέσματα άλλων διατροφικών ανεπαρκειών
2171,E64.9,Όψιμα αποτελέσματα μη καθορισμένης διατροφικής ανεπάρκειας
2172,E65,Εντοπισμένη παχυσαρκία
2173,E66,Παχυσαρκία
2174,E66.0,Παχυσαρκία από αυξημένη πρόσληψη θερμίδων
2175,E66.1,Φαρμακευτικής αιτιολογίας παχυσαρκία 
2176,E66.2,Υπερβολική παχυσαρκία με κυψελιδικό υποαερισμό 
2177,E66.8,Άλλες μορφές παχυσαρκίας
2178,E66.9,"Παχυσαρκία, μη καθορισμένη"
2179,E67,Άλλες μορφές υπερσιτισμού 
2180,E67.0,Υπερβιταμίνωση Α
2181,E67.1,Υπερκαροτιναιμία
2182,E67.2,Σύνδρομο των μεγαβιταμινών Β6
2183,E67.3,Υπερβιταμίνωση D
2184,E67.8,Άλλες μορφές υπερσιτισμού
2185,E68,Όψιμα αποτελέσματα του υπερσιτισμού
2186,E70,Διαταραχές του μεταβολισμού των αρωματικών αμινοξέων
2187,E70.0,Κλασσική φαινυλκετονουρία
2188,E70.1,Άλλες μορφές υπερφαινυλαλανιναιμίας
2189,E70.2,Διαταραχές του μεταβολισμού της τυροσίνης 
2190,E70.3,Αλφισμός
2191,E70.8,Άλλες διαταραχές του μεταβολισμού των αρωματικών αμινοξέων
